entry ,species,chemical,light,tissue,mass,log.mass
392,C.fasciculata,crude,shade,root.shoot,0.333333333,0.287682072
393,S.scheelei,crude,shade,below,2.1,1.131402111
394,S.scheelei,crude,shade,above,1.3,0.832909123
395,S.scheelei,crude,shade,total,3.4,1.481604541
396,S.scheelei,crude,shade,root.shoot,1.615384615,0.961411167
397,M.maximus,crude,shade,below,0.1,0.09531018
398,M.maximus,crude,shade,above,3.1,1.410986974
399,M.maximus,crude,shade,total,3.2,1.435084525
400,M.maximus,crude,shade,root.shoot,0.032258065,0.031748699
401,X.texanum,standard,shade,below,1.9,1.064710737
402,X.texanum,standard,shade,above,1.6,0.955511445
403,X.texanum,standard,shade,total,3.5,1.504077397
404,X.texanum,standard,shade,root.shoot,1.1875,0.782759339
405,C.fasciculata,standard,shade,below,2.5,1.252762968
406,C.fasciculata,standard,shade,above,8.2,2.219203484
407,C.fasciculata,standard,shade,total,10.7,2.459588842
408,C.fasciculata,standard,shade,root.shoot,0.304878049,0.266109587
409,S.scheelei,standard,shade,below,1.4,0.875468737
410,S.scheelei,standard,shade,above,2,1.098612289
411,S.scheelei,standard,shade,total,3.4,1.481604541
412,S.scheelei,standard,shade,root.shoot,0.7,0.530628251
413,M.maximus,standard,shade,below,1,0.693147181
414,M.maximus,standard,shade,above,3,1.386294361
415,M.maximus,standard,shade,total,4,1.609437912
416,M.maximus,standard,shade,root.shoot,0.333333333,0.287682072
417,X.texanum,none,shade,below,0.4,0.336472237
418,X.texanum,none,shade,above,0.8,0.587786665
419,X.texanum,none,shade,total,1.2,0.78845736
420,X.texanum,none,shade,root.shoot,0.5,0.405465108
421,C.fasciculata,none,shade,below,0.6,0.470003629
422,C.fasciculata,none,shade,above,3.1,1.410986974
423,C.fasciculata,none,shade,total,3.7,1.547562509
424,C.fasciculata,none,shade,root.shoot,0.193548387,0.176930708
425,S.scheelei,none,shade,below,0.3,0.262364264
426,S.scheelei,none,shade,above,1.7,0.993251773
427,S.scheelei,none,shade,total,2,1.098612289
428,S.scheelei,none,shade,root.shoot,0.176470588,0.162518929
